Model:	LI-7500A Open Path CO2/H2O Analyzer
SN:	75H-2202
Instrument:	AIU-0702
File Type:	2
Software Version:	5.0.3
Timestamp:	18:15:00
Timezone:	America/Buenos_Aires
DATAH	Sequence Number	Diagnostic Value	Date	Time	CO2 Absorptance	H2O Absorptance	CO2 (mmol/m^3)	H2O (mmol/m^3)	Temperature (C)	Pressure (kPa)	Aux 1 - U (m/s)	Aux 2 - V (m/s)	Aux 3 - W (m/s)	Aux 4 - SOS (m/s)	Cooler Voltage (V)	CO2 (umol/mol)	H2O (mmol/mol)	Dew Point (C)	AGC	H2O Sample	H2O Reference	CO2 Sample	CO2 Reference	CHK
DATA	4545896	245	2014-03-18	18:15:00:000	0.0808741	0.0409113	14.7345	269.395	20.7382	94.7495	0.906056	0.920341	-0.011989	342.186	2.02024	379.944	6.94664	0.961295	37.5	41412	42753.5	38053.5	42255	 96
DATA	4545926	245	2014-03-18	18:15:00:100	0.0809111	0.0408755	14.743	269.105	20.7429	94.7495	1.00401	0.914219	0.0502518	342.335	2.02029	380.162	6.93911	0.970492	37.5	41409.5	42753.5	38055	42254.5	 51
DATA	4545956	245	2014-03-18	18:15:00:200	0.0808505	0.0409398	14.729	269.626	20.7444	94.7495	1.00197	0.863202	0.077801	342.36	2.02045	379.814	6.95279	0.994419	37.5	41408.5	42754	38060	42255	 64
DATA	4545986	245	2014-03-18	18:15:00:300	0.0807956	0.0409651	14.7161	269.828	20.746	94.7495	1.25093	0.891771	0.101779	342.105	2.02035	379.477	6.95795	0.993767	37.5	41409	42753.5	38058	42254	147
DATA	4546016	245	2014-03-18	18:15:00:400	0.0808141	0.0409426	14.7205	269.648	20.749	94.7495	1.18563	1.12237	0.027039	341.934	2.02024	379.605	6.95355	0.968739	37.5	41410.5	42753	38054.5	42255	138
DATA	4546046	245	2014-03-18	18:15:00:500	0.0808837	0.0408956	14.7367	269.269	20.7521	94.7495	1.15502	1.02441	0.0163255	341.846	2.02024	380.023	6.94376	0.958985	37.5	41414	42754	38052	42255.5	143
DATA	4546076	245	2014-03-18	18:15:00:600	0.0809824	0.0408535	14.7598	268.929	20.7537	94.7495	1.11012	1.04482	0.122951	341.839	2.02045	380.617	6.93498	0.935631	37.5	41415	42754.5	38050	42256	102
DATA	4546106	245	2014-03-18	18:15:00:700	0.0810354	0.040831	14.7723	268.749	20.7552	94.7472	1.20195	1.14073	-0.0821375	342.227	2.0204	380.949	6.93051	0.945069	37.5	41412	42755	38053.5	42255.5	157
DATA	4546136	245	2014-03-18	18:15:00:800	0.0809224	0.0408983	14.7457	269.289	20.7567	94.7448	1.18563	1.05298	0.05969	341.837	2.0204	380.252	6.94425	0.963581	37.5	41413.5	42754	38053.5	42255.5	216
DATA	4546166	245	2014-03-18	18:15:00:900	0.0809512	0.0408573	14.7526	268.961	20.7599	94.7472	1.17951	1.04278	-0.0640264	341.895	2.02024	380.45	6.93615	0.939615	37.5	41412.5	42752.5	38049	42254.5	 93
DATA	4546196	245	2014-03-18	18:15:01:000	0.0810018	0.0408573	14.7643	268.96	20.7614	94.7495	1.06319	0.908097	0.137746	341.909	2.02035	380.745	6.93598	0.955237	37.5	41413.5	42754	38052	42255	110
DATA	4546226	245	2014-03-18	18:15:01:100	0.0809561	0.0408515	14.7538	268.915	20.7629	94.7472	0.950951	0.877487	0.19412	341.903	2.0204	380.487	6.93507	0.949796	37.5	41411.5	42753	38053.5	42254	214
DATA	4546256	245	2014-03-18	18:15:01:200	0.080899	0.0408689	14.7404	269.055	20.766	94.7472	1.11624	0.761169	0.106115	341.705	2.0204	380.141	6.93867	0.954768	37.5	41412.5	42753.5	38051	42254	 84
DATA	4546286	245	2014-03-18	18:15:01:300	0.0809744	0.0408622	14.7579	268.999	20.7675	94.7518	1.20399	0.740762	0.020917	341.717	2.02029	380.583	6.93705	0.941574	37.5	41414	42753.5	38049	42254.5	 18
DATA	4546316	245	2014-03-18	18:15:01:400	0.0810387	0.0408395	14.773	268.817	20.7706	94.7495	1.19175	0.906056	0.149225	341.909	2.0204	380.986	6.9326	0.939412	37.5	41413.5	42753.5	38050	42255	 97
DATA	4546346	245	2014-03-18	18:15:01:500	0.0810027	0.0408492	14.7644	268.892	20.7722	94.7518	1.16114	0.926462	0.169377	341.924	2.02035	380.744	6.9342	0.953821	37.5	41413	42753.5	38052	42254.5	182
DATA	4546376	245	2014-03-18	18:15:01:600	0.080944	0.0408625	14.7507	269.001	20.7753	94.7518	1.23256	0.952991	0.184937	341.954	2.02035	380.405	6.93723	0.95085	37.5	41411.5	42752.5	38050.5	42254.5	 77
DATA	4546406	245	2014-03-18	18:15:01:700	0.0809555	0.0408617	14.7535	268.995	20.7768	94.7518	1.17338	0.922381	0.130349	341.887	2.02029	380.482	6.93719	0.95154	37.5	41412.5	42753	38051.5	42254.5	 57
DATA	4546436	245	2014-03-18	18:15:01:800	0.0809537	0.0408557	14.7532	268.948	20.7784	94.7495	1.19379	0.908097	0.108156	341.77	2.0205	380.487	6.93621	0.941538	37.5	41413	42753	38050	42254	232
DATA	4546466	245	2014-03-18	18:15:01:900	0.0809971	0.0408407	14.7636	268.831	20.7799	94.7448	1.19379	0.94891	0.130859	341.707	2.0204	380.782	6.93369	0.938624	37.5	41414	42753.5	38050	42254.5	186
DATA	4546496	245	2014-03-18	18:15:02:000	0.0810031	0.0408286	14.7646	268.728	20.783	94.7472	1.16114	0.993804	0.233148	341.805	2.02045	380.775	6.93041	0.938932	37.5	41412.5	42753.5	38049.5	42255	 28
DATA	4546526	245	2014-03-18	18:15:02:100	0.0810173	0.0408477	14.7681	268.883	20.7845	94.7472	1.13257	0.989723	0.0841781	341.857	2.02029	380.879	6.93469	0.949419	37.5	41414	42754	38051.5	42255	237
DATA	4546556	245	2014-03-18	18:15:02:200	0.0809666	0.0408477	14.7562	268.884	20.7876	94.7495	1.11624	0.94891	0.029845	341.853	2.02035	380.577	6.93479	0.94431	37.5	41412.5	42753	38050.5	42254.5	 19
DATA	4546586	245	2014-03-18	18:15:02:300	0.0809794	0.0408467	14.7592	268.875	20.7907	94.7495	1.18563	0.963194	-0.0862188	341.824	2.0204	380.656	6.9346	0.94729	37.5	41414	42754.5	38051	42255.5	236
DATA	4546616	245	2014-03-18	18:15:02:400	0.0809898	0.0408435	14.7615	268.848	20.7938	94.7495	1.24277	0.840755	0.150245	342.21	2.02024	380.705	6.9337	0.953643	37.5	41412	42754	38055	42256	213
DATA	4546646	245	2014-03-18	18:15:02:500	0.080882	0.0409168	14.7363	269.439	20.7938	94.7495	1.14073	0.763209	0.206364	342.408	2.02035	380.06	6.94902	0.982303	37.5	41410.5	42754	38057	42255.5	140
